0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.048,0.176,0.102,-0.106,0.102,0.892,-0.108,0.892,0.352,-0.248,0.0,0.0
-0.048,0.176,0.102,-0.106,0.102,0.892,-0.108,0.892,0.352,-0.248,0.0,0.0
-0.048,0.176,0.102,-0.106,0.102,0.892,-0.108,0.892,0.352,-0.248,0.0,0.0
-0.048,0.176,0.102,-0.106,0.102,0.892,-0.108,0.892,0.352,-0.248,0.0,0.0
-0.048,0.176,0.102,-0.106,0.102,0.892,-0.108,0.892,0.352,-0.248,0.0,0.0
-0.048,0.176,0.102,-0.106,0.102,0.892,-0.108,0.892,0.352,-0.248,0.0,0.0
-0.048,0.176,0.102,-0.106,0.102,0.892,-0.108,0.892,0.352,-0.248,0.0,0.0
-0.048,0.176,0.102,-0.106,0.102,0.892,-0.108,0.892,0.352,-0.248,0.0,0.0
-0.048,0.176,0.102,-0.106,0.102,0.892,-0.108,0.892,0.352,-0.248,0.0,0.0
-0.048,0.176,0.102,-0.106,0.102,0.892,-0.108,0.892,0.352,-0.248,0.0,0.0
-0.048,0.176,0.102,-0.106,0.102,0.892,-0.108,0.892,0.352,-0.248,0.0,0.0
-0.048,0.176,0.102,-0.106,0.102,0.892,-0.108,0.892,0.352,-0.248,0.0,0.0
-0.048,0.176,0.102,-0.106,0.102,0.892,-0.108,0.892,0.352,-0.248,0.0,0.0
-0.048,0.176,0.102,-0.106,0.102,0.892,-0.108,0.892,0.352,-0.248,0.0,0.0
-0.048,0.176,0.102,-0.106,0.102,0.892,-0.108,0.892,0.352,-0.248,0.0,0.0
-0.048,0.176,0.102,-0.106,0.102,0.892,-0.108,0.892,0.352,-0.248,0.0,0.0
-0.048,0.176,0.102,-0.106,0.102,0.892,-0.108,0.892,0.352,-0.248,0.0,0.0
-0.048,0.176,0.102,-0.106,0.102,0.892,-0.108,0.892,0.352,-0.248,0.0,0.0
-0.048,0.176,0.102,-0.106,0.102,0.892,-0.108,0.892,0.352,-0.248,0.0,0.0
